Account,Token Account,Quantity,Percentage
ERDeRHcRBysmZcvfuZikjsPNETmBKYx1QuDEaPxhmgVP,38JwFHEAjh9GqE9RGAQxANKdNPXbp44kX48NS3DLusxB,7282449.444213,0.73
9hQNQz2QEW1aFAkZagQHnY6q5Rj9m36ZHfyrsEM2mDL9,9WfJSXroUgQzh2HLq6FWFg5we9Gsa8ayZ7wLn471ZApX,7177183.453149,0.72
4x6ebdFhR2aewvMXQFZbxeiwmuZU8KHdF6ngRhg2JLv8,4k4YAacCyFA6ZMsV8B7Nc7sB9SGuT2KxBkjyBiE8234C,7097031.865418,0.71
DQrDQi8q4TC4z7S22mhXV7gHL3UnEUPSZxAW2cqFeC5H,Gb6mWiZCFnE4Sqp2UhUunZMYtkQ5DkuXtfDqjtvktR6B,6580150.009184,0.66
GCTS9hW2dwvTUpp7Mo4KroAh5z57Amucty3P1k9QVzAd,2B9ScvzALYWRvxLJyMzRw3ekVrUqi1YMp9mcjoqmPnHS,6349060.38771,0.63
CBBBNisNsLKz8ScYHogB5p62z1SMViSWx1L1W5VzMd8u,9jMy2NpbkRv2rkbfHTfG471dSVTp8PhcSHpraM5C5bBC,6342166.485807,0.63
GhHkMRdWKmjM9gZpAtYaxKbuNNDh9axfcK8DTZJxYqTw,DMZDQWtfdBLdcY87dzCrRrjeG61tsHSXnioGVUYX1tzN,6228881.939798,0.62
6p26LVfvm14Ei89Rj1yvxKUCWK8zrpNHoNTqQ9tj7AdP,HW8PYmQzb6WccDBhtj6T49j6Yt4okj8sLGCc72HNp9gJ,6062173.783109,0.61
Bs782bRDXUEWQJQNhEVBDyrrcSYKMbFz2V1sCuEmyouJ,er3Lmurne7QKzqjrcan1v4b1b9LWpHyeGRtz7Ps38Cs,6046253.437741,0.60
ACHXdrPLn224pYB1rQi2xUDj8xutTRy6NwHat38pGxpU,9ABUfTeRpttyNYBmynvcxnckfjXuo5UqWFLyxUY2Vbde,5067875.19112,0.51
DeLeWaxxhY7ST5ery3ynmjTKGiJoRVDnr891zhcNMYYv,EujyZzoLwbfwVnxFHWFJzvE8ZLk74NXgjTdc6T1qEGGM,4120912.463728,0.41
3LXWy8LZ7qmvWu4zGPQM6bjHXEJQxLspTTtuAS6eqr3o,2z1Q4FFHvRM4VLYpAkkDsxzMvXEU8dgKGFHdJyhtrMo2,4032457.408195,0.40
2DDYKDqcxaTzd9tyH6C7GiBxRFKUL5bkSh7JpWXKii2g,4zbUhMRpxM7eG49zGTthn4biFgGqvWu6y9wmgP61zHwk,3191117.371473,0.32
7qjC7x3HcrVmGLhLusjBxGC6KjKvsv1us1x9bNbXiN24,cSXPRBPwgxZ5BfidP1Ck46gKPCx9CgX6v8uH88Vyond,2959112.640067,0.30
